title,absract,date,link,database,Base Model,Interface Type,Workflow Composition,Architecture,Agentic Role - Retrieval,Agentic Role - Personalization,Agentic Role - Risk assessment,Agentic Role - Tool use,Agentic Role - Other,Modality,SoTD - Interactional / Conversational,SoTD - Generated / Synthetic,SoTD - Clinically Collected Data,SoTD - Elicited Evidence,Mental Health Focus,Age Group,Location,Sex,DT - Screening / Triage,DT - Clinical Decision Support,DT - Therapeutic Interventions,DT - Documentation Generation,DT - Ethical / Legal support,DT - Education & Simulation,DT - Evidence & Benchmarking,DT - Other,Automated Evaluation - Applicability,Automated Evaluation - Language,Human Evaluation - Expert,Human Evaluation - User,Unnamed: 35,Unnamed: 36,published
KMI: A Dataset of Korean Motivational Interviewing Dialogues for Psychotherapy,"The increasing demand for mental health services has led to the rise of
AI-driven mental health chatbots, though challenges related to privacy, data
collection, and expertise persist. Motivational Interviewing (MI) is gaining
attention as a theoretical basis for boosting expertise in the development of
these chatbots. However, existing datasets are showing limitations for training
chatbots, leading to a substantial demand for publicly available resources in
the field of MI and psychotherapy. These challenges are even more pronounced in
non-English languages, where they receive less attention. In this paper, we
propose a novel framework that simulates MI sessions enriched with the
expertise of professional therapists. We train an MI forecaster model that
mimics the behavioral choices of professional therapists and employ Large
Language Models (LLMs) to generate utterances through prompt engineering. Then,
we present KMI, the first synthetic dataset theoretically grounded in MI,
containing 1,000 high-quality Korean Motivational Interviewing dialogues.
Through an extensive expert evaluation of the generated dataset and the
dialogue model trained on it, we demonstrate the quality, expertise, and
practicality of KMI. We also introduce novel metrics derived from MI theory in
order to evaluate dialogues from the perspective of MI.",2/8/25,http://arxiv.org/abs/2502.05651v2,arxiv,Foundation model,Chatbot,Multi-Agent,Not Applicable,FALSE,TRUE,FALSE,FALSE,TRUE,Text,TRUE,TRUE,FALSE,FALSE,general_psychiatry,age_unspecified,South Korea,Unspecified,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,,2/8/25
Towards Understanding Emotions for Engaged Mental Health Conversations,"Providing timely support and intervention is crucial in mental health
settings. As the need to engage youth comfortable with texting increases,
mental health providers are exploring and adopting text-based media such as
chatbots, community-based forums, online therapies with licensed professionals,
and helplines operated by trained responders. To support these text-based media
for mental health--particularly for crisis care--we are developing a system to
perform passive emotion-sensing using a combination of keystroke dynamics and
sentiment analysis. Our early studies of this system posit that the analysis of
short text messages and keyboard typing patterns can provide emotion
information that may be used to support both clients and responders. We use our
preliminary findings to discuss the way forward for applying AI to support
mental health providers in providing better care.",7/1/24,http://arxiv.org/abs/2406.11135v1,arxiv,Foundation model,Non-Chat Agent,Non-Agent,Not Applicable,FALSE,TRUE,TRUE,FALSE,FALSE,Text,TRUE,FALSE,Not Applicable,Not Applicable,general_psychiatry,"adolescence, young_adulthood, middle_adulthood",singapore,Both,TRUE,TRUE,,,,,FALSE,,TRUE,,TRUE,,,,7/1/24
A Multi-Agent Dual Dialogue System to Support Mental Health Care Providers,"We introduce a general-purpose, human-in-the-loop dual dialogue system to
support mental health care professionals. The system, co-designed with care
providers, is conceptualized to assist them in interacting with care seekers
rather than functioning as a fully automated dialogue system solution. The AI
assistant within the system reduces the cognitive load of mental health care
providers by proposing responses, analyzing conversations to extract pertinent
themes, summarizing dialogues, and recommending localized relevant content and
internet-based cognitive behavioral therapy exercises. These functionalities
are achieved through a multi-agent system design, where each specialized,
supportive agent is characterized by a large language model. In evaluating the
multi-agent system, we focused specifically on the proposal of responses to
emotionally distressed care seekers. We found that the proposed responses
matched a reasonable human quality in demonstrating empathy, showing its
appropriateness for augmenting the work of mental health care providers.",11/27/24,http://arxiv.org/abs/2411.18429v2,arxiv,Foundation model,Chatbot,Multi-Agent,Not Applicable,TRUE,TRUE,TRUE,TRUE,,Text,TRUE,,,,general_psychiatry,"adolescence, young_adulthood, ",singapore,Unspecified,TRUE,TRUE,TRUE,TRUE,,FALSE,,,TRUE,,TRUE,,,,11/27/24
Large Language Model-Powered Conversational Agent Delivering Problem-Solving Therapy (PST) for Family Caregivers: Enhancing Empathy and Therapeutic Alliance Using In-Context Learning,"Family caregivers often face substantial mental health challenges due to
their multifaceted roles and limited resources. This study explored the
potential of a large language model (LLM)-powered conversational agent to
deliver evidence-based mental health support for caregivers, specifically
Problem-Solving Therapy (PST) integrated with Motivational Interviewing (MI)
and Behavioral Chain Analysis (BCA). A within-subject experiment was conducted
with 28 caregivers interacting with four LLM configurations to evaluate empathy
and therapeutic alliance. The best-performing models incorporated Few-Shot and
Retrieval-Augmented Generation (RAG) prompting techniques, alongside
clinician-curated examples. The models showed improved contextual understanding
and personalized support, as reflected by qualitative responses and
quantitative ratings on perceived empathy and therapeutic alliances.
Participants valued the model's ability to validate emotions, explore
unexpressed feelings, and provide actionable strategies. However, balancing
thorough assessment with efficient advice delivery remains a challenge. This
work highlights the potential of LLMs in delivering empathetic and tailored
support for family caregivers.",2025-06-13T00:47:57Z,http://arxiv.org/abs/2506.11376v1,arxiv,Foundation model,Chatbot,Single Agent,Not Applicable,TRUE,TRUE,,,TRUE,Text,,TRUE,,,general_psychiatry,"adolescence, young_adulthood, middle_adulthood",USA,Both,,,TRUE,,,,,,TRUE,,,TRUE,,,2025-06-13T00:47:57Z
Can an LLM-Powered Socially Assistive Robot Effectively and Safely Deliver Cognitive Behavioral Therapy? A Study With University Students,"Cognitive behavioral therapy (CBT) is a widely used therapeutic method for
guiding individuals toward restructuring their thinking patterns as a means of
addressing anxiety, depression, and other challenges. We developed a large
language model (LLM)-powered prompt-engineered socially assistive robot (SAR)
that guides participants through interactive CBT at-home exercises. We
evaluated the performance of the SAR through a 15-day study with 38 university
students randomly assigned to interact daily with the robot or a chatbot (using
the same LLM), or complete traditional CBT worksheets throughout the duration
of the study. We measured weekly therapeutic outcomes, changes in
pre-/post-session anxiety measures, and adherence to completing CBT exercises.
We found that self-reported measures of general psychological distress
significantly decreased over the study period in the robot and worksheet
conditions but not the chatbot condition. Furthermore, the SAR enabled
significant single-session improvements for more sessions than the other two
conditions combined. Our findings suggest that SAR-guided LLM-powered CBT may
be as effective as traditional worksheet methods in supporting therapeutic
progress from the beginning to the end of the study and superior in decreasing
user anxiety immediately after completing the CBT exercise.",2/27/24,http://arxiv.org/abs/2402.17937v1,arxiv,Foundation model,Chatbot,Single Agent,Not Applicable,,TRUE,,,TRUE,Text,,TRUE,,,6B0,"adolescence, young_adulthood",USA,Both,FALSE,,TRUE,,,,,,TRUE,,,TRUE,,,2024-02-27T23:30:10Z
Interpersonal Theory of Suicide as a Lens to Examine Suicidal Ideation in Online Spaces,"Suicide is a critical global public health issue, with millions experiencing
suicidal ideation (SI) each year. Online spaces enable individuals to express
SI and seek peer support. While prior research has revealed the potential of
detecting SI using machine learning and natural language analysis, a key
limitation is the lack of a theoretical framework to understand the underlying
factors affecting high-risk suicidal intent. To bridge this gap, we adopted the
Interpersonal Theory of Suicide (IPTS) as an analytic lens to analyze 59,607
posts from Reddit's r/SuicideWatch, categorizing them into SI dimensions
(Loneliness, Lack of Reciprocal Love, Self Hate, and Liability) and risk
factors (Thwarted Belongingness, Perceived Burdensomeness, and Acquired
Capability of Suicide). We found that high-risk SI posts express planning and
attempts, methods and tools, and weaknesses and pain. In addition, we also
examined the language of supportive responses through psycholinguistic and
content analyses to find that individuals respond differently to different
stages of Suicidal Ideation (SI) posts. Finally, we explored the role of AI
chatbots in providing effective supportive responses to suicidal ideation
posts. We found that although AI improved structural coherence, expert
evaluations highlight persistent shortcomings in providing dynamic,
personalized, and deeply empathetic support. These findings underscore the need
for careful reflection and deeper understanding in both the development and
consideration of AI-driven interventions for effective mental health support.",2025-04-17T18:40:55Z,http://arxiv.org/abs/2504.13277v1,arxiv,Foundation model,Chatbot,Single Agent,Not Applicable,,TRUE,TRUE,,FALSE,Text,TRUE,,,,suicide,unspecified,unspecified,Unspecified,TRUE,,FALSE,,,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,2025-04-17T18:40:55Z
"Emotion-Aware Embedding Fusion in LLMs (Flan-T5, LLAMA 2, DeepSeek-R1, and ChatGPT 4) for Intelligent Response Generatio","Empathetic and coherent responses are critical in auto-mated
chatbot-facilitated psychotherapy. This study addresses the challenge of
enhancing the emotional and contextual understanding of large language models
(LLMs) in psychiatric applications. We introduce Emotion-Aware Embedding
Fusion, a novel framework integrating hierarchical fusion and attention
mechanisms to prioritize semantic and emotional features in therapy
transcripts. Our approach combines multiple emotion lexicons, including NRC
Emotion Lexicon, VADER, WordNet, and SentiWordNet, with state-of-the-art LLMs
such as Flan-T5, LLAMA 2, DeepSeek-R1, and ChatGPT 4. Therapy session
transcripts, comprising over 2,000 samples are segmented into hierarchical
levels (word, sentence, and session) using neural networks, while hierarchical
fusion combines these features with pooling techniques to refine emotional
representations. Atten-tion mechanisms, including multi-head self-attention and
cross-attention, further prioritize emotional and contextual features, enabling
temporal modeling of emotion-al shifts across sessions. The processed
embeddings, computed using BERT, GPT-3, and RoBERTa are stored in the Facebook
AI similarity search vector database, which enables efficient similarity search
and clustering across dense vector spaces. Upon user queries, relevant segments
are retrieved and provided as context to LLMs, enhancing their ability to
generate empathetic and con-textually relevant responses. The proposed
framework is evaluated across multiple practical use cases to demonstrate
real-world applicability, including AI-driven therapy chatbots. The system can
be integrated into existing mental health platforms to generate personalized
responses based on retrieved therapy session data.",2-Oct-24,http://arxiv.org/abs/2410.01306v2,arxiv,Foundation model,Chatbot,Single Agent,Not Applicable,TRUE,TRUE,,,TRUE,Text,TRUE,,,,general_psychiatry,age_unspecified,unspecified,Unspecified,FALSE,FALSE,TRUE,,,TRUE,,,TRUE,TRUE,,,,,
Boosting Distress Support Dialogue Responses with Motivational Interviewing Strategy,"AI-driven chatbots have become an emerging solution to address psychological
distress. Due to the lack of psychotherapeutic data, researchers use dialogues
scraped from online peer support forums to train them. But since the responses
in such platforms are not given by professionals, they contain both conforming
and non-conforming responses. In this work, we attempt to recognize these
conforming and non-conforming response types present in online distress-support
dialogues using labels adapted from a well-established behavioral coding scheme
named Motivational Interviewing Treatment Integrity (MITI) code and show how
some response types could be rephrased into a more MI adherent form that can,
in turn, enable chatbot responses to be more compliant with the MI strategy. As
a proof of concept, we build several rephrasers by fine-tuning Blender and GPT3
to rephrase MI non-adherent ""Advise without permission"" responses into ""Advise
with permission"". We show how this can be achieved with the construction of
pseudo-parallel corpora avoiding costs for human labor. Through automatic and
human evaluation we show that in the presence of less training data, techniques
such as prompting and data augmentation can be used to produce substantially
good rephrasings that reflect the intended style and preserve the content of
the original text.",2023-05-17T13:18:28Z,http://arxiv.org/abs/2305.10195v1,arxiv,Foundation model,Non-Chat Agent,Non-Agent,Not Applicable,,,TRUE,,TRUE,Text,TRUE,,,Interview (Questionnaire),general_psychiatry,age_unspecified,unspecified,Unspecified,,,FALSE,FALSE,,,TRUE,,TRUE,,TRUE,TRUE,,,2023-05-17T13:18:28Z
LLM-empowered Chatbots for Psychiatrist and Patient Simulation: Application and Evaluation,"Empowering chatbots in the field of mental health is receiving increasing
amount of attention, while there still lacks exploration in developing and
evaluating chatbots in psychiatric outpatient scenarios. In this work, we focus
on exploring the potential of ChatGPT in powering chatbots for psychiatrist and
patient simulation. We collaborate with psychiatrists to identify objectives
and iteratively develop the dialogue system to closely align with real-world
scenarios. In the evaluation experiments, we recruit real psychiatrists and
patients to engage in diagnostic conversations with the chatbots, collecting
their ratings for assessment. Our findings demonstrate the feasibility of using
ChatGPT-powered chatbots in psychiatric scenarios and explore the impact of
prompt designs on chatbot behavior and user experience.",5/23/23,http://arxiv.org/abs/2305.13614v1,arxiv,Foundation model,Chatbot,Multi-Agent,Flat Architecture,,TRUE,,,TRUE,Text,,TRUE,,,6A7,"adolescence, young_adulthood",China,Both,TRUE,,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,1/1/23
Deconstructing Depression Stigma: Integrating AI-driven Data Collection and Analysis with Causal Knowledge Graphs,"Mental-illness stigma is a persistent social problem, hampering both
treatment-seeking and recovery. Accordingly, there is a pressing need to
understand it more clearly, but analyzing the relevant data is highly
labor-intensive. Therefore, we designed a chatbot to engage participants in
conversations; coded those conversations qualitatively with AI assistance; and,
based on those coding results, built causal knowledge graphs to decode stigma.
The results we obtained from 1,002 participants demonstrate that conversation
with our chatbot can elicit rich information about people's attitudes toward
depression, while our AI-assisted coding was strongly consistent with
human-expert coding. Our novel approach combining large language models (LLMs)
and causal knowledge graphs uncovered patterns in individual responses and
illustrated the interrelationships of psychological constructs in the dataset
as a whole. The paper also discusses these findings' implications for HCI
researchers in developing digital interventions, decomposing human
psychological constructs, and fostering inclusive attitudes.",2025-02-09T23:58:46Z,http://arxiv.org/abs/2502.06075v1,arxiv,Foundation model,Chatbot,Single Agent,Not Applicable,,TRUE,,,TRUE,Text,,TRUE,,Interview (Questionnaire),6A7,"young_adulthood, middle_adulthood","USA, UK",Both,FALSE,,TRUE,,,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,,2025-02-09T23:58:46Z
